city,county,country
Aberdeen,Aberdeenshire,Scotland
Airdrie,Lanarkshire,Scotland
Alloa,Clackmannanshire,Scotland
Annan,Dumfriesshire,Scotland
Anstruther,Fife,Scotland
Arbroath,Angus,Scotland
Ardrossan,Ayrshire,Scotland
Armagh,Armagh,Northern Ireland
Ayr,Ayrshire,Scotland
Ballymena,Antrim,Northern Ireland
Ballymoney,Antrim,Northern Ireland
Banbridge,Down,Northern Ireland
Banff,Banffshire,Scotland
Bangor,Down,Northern Ireland
Barrhead,Renfrewshire,Scotland
Bathgate,West Lothian,Scotland
Belfast,Antrim,Northern Ireland
Bellshill,Lanarkshire,Scotland
Blairgowrie,Perthshire,Scotland
Brechin,Angus,Scotland
Bridge of Allan,Stirlingshire,Scotland
Buckie,Banffshire,Scotland
Campbeltown,Argyll,Scotland
Carluke,Lanarkshire,Scotland
Carrickfergus,Antrim,Northern Ireland
Castle Douglas,Kirkcudbrightshire,Scotland
Clydebank,Dunbartonshire,Scotland
Coatbridge,Lanarkshire,Scotland
Coleraine,Londonderry,Northern Ireland
Cookstown,Tyrone,Northern Ireland
Crieff,Perthshire,Scotland
Cupar,Fife,Scotland
Dalbeattie,Dumfriesshire,Scotland
Dalkeith,Midlothian,Scotland
Dalry,Ayrshire,Scotland
Dingwall,Ross and Cromarty,Scotland
Downpatrick,Down,Northern Ireland
Dromore,Down,Northern Ireland
Dufftown,Moray,Scotland
Dumbarton,Dunbartonshire,Scotland
Dumfries,Dumfriesshire,Scotland
Dundee,Angus,Scotland
Dunfermline,Fife,Scotland
Dungannon,Tyrone,Northern Ireland
Edinburgh,Midlothian,Scotland
Elgin,Moray,Scotland
Enniskillen,Fermanagh,Northern Ireland
Falkirk,Stirlingshire,Scotland
Forfar,Angus,Scotland
Forres,Moray,Scotland
Fraserburgh,Aberdeenshire,Scotland
Galashiels,Roxburghshire,Scotland
Glasgow,Lanarkshire,Scotland
Golspie,Sutherland,Scotland
Grantown-on-Spey,Moray,Scotland
Greenock,Renfrewshire,Scotland
Haddington,East Lothian,Scotland
Hamilton,Lanarkshire,Scotland
Hawick,Roxburghshire,Scotland
Helensburgh,Dunbartonshire,Scotland
Huntly,Aberdeenshire,Scotland
Invergordon,Ross and Cromarty,Scotland
Inverness,Inverness-shire,Scotland
Irvine,Ayrshire,Scotland
Jedburgh,Roxburghshire,Scotland
Keith,Moray,Scotland
Kelso,Roxburghshire,Scotland
Kilmarnock,Ayrshire,Scotland
Kilsyth,Stirlingshire,Scotland
Kinross,Kinross-shire,Scotland
Kirkcaldy,Fife,Scotland
Kirkintilloch,Dunbartonshire,Scotland
Kirkwall,Orkney,Scotland
Kirriemuir,Angus,Scotland
Lanark,Lanarkshire,Scotland
Langholm,Dumfriesshire,Scotland
Larne,Antrim,Northern Ireland
Lerwick,Shetland,Scotland
Leven,Fife,Scotland
Linlithgow,West Lothian,Scotland
Lisburn,Antrim,Northern Ireland
Lockerbie,Dumfriesshire,Scotland
Londonderry,Londonderry,Northern Ireland
Lurgan,Armagh,Northern Ireland
Milngavie,Dunbartonshire,Scotland
Montrose,Angus,Scotland
Motherwell,Lanarkshire,Scotland
Musselburgh,East Lothian,Scotland
Nairn,Nairn,Scotland
Newry,Down,Northern Ireland
Newton Stewart,Wigtownshire,Scotland
Newtownards,Down,Northern Ireland
Oban,Argyll,Scotland
Omagh,Tyrone,Northern Ireland
Paisley,Renfrewshire,Scotland
Peebles,Peeblesshire,Scotland
Perth,Perthshire,Scotland
Peterhead,Aberdeenshire,Scotland
Port Glasgow,Renfrewshire,Scotland
Portadown,Armagh,Northern Ireland
Portsoy,Aberdeenshire,Scotland
Rothesay,Buteshire,Scotland
Selkirk,Selkirkshire,Scotland
St Andrews,Fife,Scotland
Stirling,Stirlingshire,Scotland
Stonehaven,Kincardineshire,Scotland
Stornoway,Ross and Cromarty,Scotland
Strabane,Tyrone,Northern Ireland
Stranraer,Wigtownshire,Scotland
Thurso,Caithness,Scotland
Tillicoultry,Clackmannanshire,Scotland
West Calder,West Lothian,Scotland
Wick,Caithness,Scotland
Wishaw,Lanarkshire,Scotland